Music & Video:[food, place, good, go, vegan, one, back, service, tapas, time, menu, restaurant, love, cafe, order, try, smoothie, can, chicken, shrimp, salad, way, bar, beet, cheese, something, sauce, lake, server, right, bartender, burger, taste, salsa, everything, meal, staff, juice, flavor, half, music, wrap, bit, thing, sangria, waitress, drink, night, day, table, bread, rice, meat, house, lot, feel, experience, plate, while, home, hour, price, veggie, eating, bacon, location, nothing, atmosphere, hummus, anything, pasta, dinner, health, waiter, side, ok, spot, favorite, check, husband, gaming, water, sampler, soup, taco, pizza, paella, outside, coconut, left]
Delis:[good, food, place, sandwich, pizza, service, time, one, order, go, back, chicken, cheese, bagel, vegas, can, try, salad, love, bread, pastrami, well, menu, breakfast, beef, meat, lunch, staff, soup, everything, side, make, sauce, restaurant, way, right, bar, turkey, day, say, something, cream, take, wait, think, while, location, quality, home, taste, price, jamaican, meal, bit, favorite, worth, hotel, customer, spot, experience, thing, sub, half, coffee, bacon, flavor, rice, york, shop, tea, egg, caviar, pasta, area, garlic, burger, table, lot, town, counter, being, enough, night, casino, ok, high, potato, nothing, family, special]
Ethiopian:[food, ethiopian, place, restaurant, one, service, time, injera, combo, bread, veggie, meat, beef, dish, go, back, try, platter, can, vegetarian, experience, order, lamb, meal, waitress, coffee, love, spicy, menu, merkato, bit, something, kitfo, chicken, take, salad, eating, way, plate, strip, everything, tea, staff, friend, right, table, while, water, favorite, side, server, taste, night, sauce, beer, lot, sambusa, flavor, cuisine, red, home, check, thing, dinner, music, anything, area, fun, left, wot, vegan, thought, day, kind, part, inside, cab, ok, fan, groupon, cabbage, ceremony, spinach, spice, wait, dining, incense, vegetable, overall, review]
Singaporean:[chicken, food, rice, place, service, restaurant, sauce, one, roti, dish, menu, thai, vegas, time, go, curry, flock, back, beef, order, try, fowl, well, soup, can, flavor, hainan, mandalay, noodle, egg, shrimp, lunch, love, canai, satay, pad, hainanese, bit, broth, everything, staff, meal, spicy, sausage, salad, taste, side, coconut, asian, table, location, way, experience, favorite, bao, strip, right, something, while, price, wait, shop, take, rendang, server, night, dinner, laksa, meat, lot, duck, tea, hour, overall, worth, thing, downtown, mee, sahara, jenny, tender, soy, special, quality, day, tofu, pork, island, ok, spot]
Himalayan/Nepalese:[food, buffet, place, lunch, service, goat, restaurant, naan, chicken, dinner, saino, garlic, time, one, curry, order, rice, menu, vegetarian, lamb, table, price, yelp, masala, waiter, server, tandoori, tikka, everything, favorite, cuisine, check, dish, soup, quality, water, spice, paneer, momo, family, while, spicy, lassi, way, selection, stop, appetizer, home, side, bread, worth, vegetable, love, veg, korma, butter, meal, visit, deal, staff, return, mango, town, onion, experience, thali, mint, need, pakora, lady, spot, plate, nepal, variety, dhindo, aaloo, flavor, bhootan, bone, sauce, couple, wow, number, bhajji, craving, bhutan, use, level, today, friend]
Delicatessen:[tea, place, taiyaki, ice, food, cream, try, one, boba, service, drink, cafe, back, milk, time, toast, order, honey, summer, yuzu, love, dessert, chicken, orange, menu, taste, rice, waffle, matcha, pork, egglette, basil, strawberry, fish, flavor, friend, inside, lychee, bit, staff, vanilla, spot, filling, side, coffee, top, thing, study, server, favorite, nutella, customer, way, table, everything, something, belly, experience, look, espresso, takoyaki, night, latte, right, egg, need, fruit, bean, yummy, work, check, nothing, mochi, lot, decor, owner, rose, chocolate, visit, counter, hokkaido, fried, custard, quality, cake, noodle, while, chill, wait, yelp]
Venues & Event Spaces:[food, good, place, service, out, time, back, one, restaurant, chicken, go, vegas, menu, server, can, experience, bar, well, dinner, try, salad, table, order, staff, night, sauce, meal, love, meat, fried, cheese, bread, everything, make, side, way, salsa, waiter, bouchon, right, sisig, hour, say, wait, party, down, rib, think, steak, while, breakfast, day, fun, burger, worth, bit, lunch, price, atmosphere, being, drink, take, dining, pastrami, shrimp, pasta, waitress, strip, something, dish, thing, check, pork, special, favorite, flavor, area, enough, taste, family, wine, nothing, top, lobster, house, ok, birthday, bbq, bacon, overall]
Zoos:[pool, club, vegas, time, day, place, party, beach, encore, line, go, one, can, water, back, music, fun, service, ebc, night, security, dj, table, cabana, staff, group, drink, wait, experience, pay, way, list, bar, area, check, food, well, right, guest, bottle, money, everyone, love, crowd, stuff, front, cabanas, hotel, weekend, friend, while, venue, dance, put, spot, lot, need, thing, bag, wynn, inside, room, guy, overall, feel, anything, sun, cool, dancing, phone, everything, kaskade, hour, show, promoter, favorite, girl, walk, waiting, set, space, saw, whole, vip, end, guestlist, point, plenty, republic, blast]
Cuban:[food, service, place, restaurant, back, time, one, cafe, florida, waitress, rice, order, sandwich, try, love, staff, con, can, music, bread, meal, pork, check, way, fried, table, ropa, night, experience, hotel, buffet, bar, everything, dish, chicken, y, lunch, menu, wait, vieja, bit, steak, while, right, parking, breakfast, location, take, pollo, dinner, eating, family, side, friend, server, something, worth, inside, favorite, thing, lot, husband, beef, nothing, party, bakery, drink, plate, bill, town, manager, area, think, home, atmosphere, visit, customer, coffee, arroz, meat, water, point, cuba, strip, cubano, owner, ok, half, day, appetizer]
Arcades:[place, food, pinball, out, time, one, back, bar, arcade, fun, go, play, can, service, tapas, game, pizza, love, buffet, beer, staff, chicken, machine, bartender, hour, make, way, hall, cheese, selection, night, server, lot, shrimp, fame, area, try, order, video, drink, salad, cool, salsa, think, menu, family, while, right, playing, visit, experience, take, side, being, party, restaurant, day, table, something, check, money, working, sauce, waitress, everything, gaming, need, thing, bit, say, rice, pasta, price, chuck, manager, sangria, worth, favorite, room, left, line, card, location, wait, work, quarter, school, feel, nothing, atmosphere]
Tennis:[room, hotel, stay, strip, place, one, hilton, good, time, night, casino, service, check, lvh, day, go, can, monorail, bed, back, staff, convention, pool, desk, floor, water, front, bad, food, shower, price, buffet, bathroom, star, center, coffee, area, way, right, deal, experience, say, resort, staying, cheap, money, use, pay, thing, walk, tv, everything, weekend, lot, line, while, view, parking, nothing, tower, book, smoking, bit, work, need, fee, door, hour, elevator, bar, wait, plus, close, charge, show, someone, left, location, overall, housekeeping, morning, trek, call, something, suite, ok, love, club, upgrade, north]
Bagels:[bagel, place, good, food, coffee, service, sandwich, breakfast, time, go, order, cheese, one, panera, back, love, salad, soup, staff, can, bread, location, cream, chicken, well, try, menu, everything, lunch, vegan, wait, make, lox, way, customer, egg, day, side, right, morning, take, favorite, bronze, steak, while, bacon, something, cafe, line, think, work, spot, drink, say, airport, table, shop, pastrami, meal, quality, bit, thing, half, manager, restaurant, lot, home, benedict, pick, toast, price, cup, turkey, jewish, taste, area, counter, today, einstein, need, beef, nosh, town, maxx, drive, experience, pancakes, visit, put, tea]
Donuts:[donut, cream, vegan, ice, place, good, one, time, go, back, dozen, krispy, love, shop, kreme, service, chocolate, coffee, taro, try, vegas, apple, doughnut, cake, ube, day, order, taste, location, way, eis, cash, right, drive, scoop, hut, blueberry, staff, customer, rambo, morning, mango, favorite, fritter, flavor, while, macapuno, say, owner, night, coconut, being, store, box, sundae, light, inside, stop, yummy, lady, town, maple, something, sugar, home, pineapple, work, worth, family, visit, pumpkin, bit, quality, area, everything, business, cruller, selection, spot, thing, wait, top, cherry, counter, crunch, cronut, treat, line, girl, sample]
Fast Food:[food, good, place, burger, out, chicken, order, service, time, one, go, back, pizza, can, love, tacos, burrito, location, sauce, try, vegas, cheese, well, staff, rice, taco, menu, n, make, drive, way, fish, chipotle, filipino, restaurant, customer, right, wait, bowl, meal, say, thai, taste, everything, asada, meat, lunch, think, sandwich, sonic, down, carne, line, take, while, shake, something, salsa, fried, price, side, day, favorite, thing, experience, home, animal, flavor, teriyaki, quality, jollibee, night, halo, being, drink, shrimp, lot, strip, bit, eating, worth, beef, style, vegan, salad, masala, steak, toast, need, spicy]
Museums:[pinball, place, play, fun, machine, time, out, game, one, arcade, can, back, hall, go, fame, love, playing, video, strip, money, cool, way, visit, school, lot, take, working, while, ball, museum, change, favorite, day, man, family, think, quarter, something, kid, vintage, history, owner, worth, trip, being, charity, guy, stop, need, inside, thing, building, bit, couple, check, right, work, say, staff, hour, year, cost, popcorn, star, selection, collection, blast, night, experience, feel, hockey, town, air, location, warehouse, everyone, try, part, kind, thought, fan, childhood, look, dark, past, walk, run, left, everything, modern]
Laotian:[thai, food, place, service, chicken, time, shrimp, restaurant, pad, back, one, go, love, lunch, salad, hour, weera, curry, jerk, rice, order, breeze, menu, bahama, try, sauce, duck, can, spicy, coconut, dish, favorite, tom, soup, server, drink, everything, staff, flavor, taste, beef, papaya, tea, dinner, special, crab, night, pasta, atmosphere, panang, caribbean, strip, right, yum, experience, appetizer, lobster, meal, lot, price, table, way, visit, wait, something, tofu, side, mango, fish, take, bit, thing, family, spring, noodle, yelp, friend, ok, pineapple, pork, seafood, waitress, waiter, being, spice, while, bar, feel, dessert, town]
African:[food, good, place, burger, vegas, service, out, time, one, cheese, go, back, restaurant, bar, wait, guy, can, table, mac, menu, margaritaville, drink, strip, try, well, server, margarita, order, fun, atmosphere, chicken, night, love, sandwich, bacon, way, experience, meal, while, right, staff, sauce, say, breakfast, bad, flavor, music, waiter, worth, waitress, think, bit, ok, nothing, lunch, salad, dinner, side, everything, volcano, take, thing, being, fieri, enough, taste, something, day, n, jimmy, visit, top, check, show, fish, stop, cool, price, overall, lot, left, cold, bbq, hour, husband, shrimp, thought, brisket, friend, party]
Videos & Video Game Rental:[food, place, service, tapas, back, restaurant, one, menu, time, go, server, bar, chicken, sauce, shrimp, salsa, rice, cheese, order, night, bartender, drink, music, hour, love, flavor, way, try, staff, sangria, taco, waiter, table, can, meal, dinner, taste, experience, right, meat, everything, waitress, plate, bacon, half, atmosphere, price, check, day, beer, gaming, bit, while, ok, paella, manager, nothing, thing, chef, home, groupon, overall, lot, outside, bread, something, rock, asada, husband, carne, dish, wait, neighborhood, john, feel, quality, patio, spot, calamari, dip, soup, salad, anything, care, review, wine, need, game, point, visit]
Ice Cream & Frozen Yogurt:[ice, cream, place, good, halo, out, gelato, burger, one, time, service, food, go, order, back, try, love, sonic, can, coffee, ube, acai, custard, chocolate, crepe, snow, drive, staff, flavor, cheese, make, shake, shack, way, location, taste, right, day, customer, shop, favorite, wait, down, something, donut, juice, cake, menu, drink, think, while, worth, tea, coconut, say, bowl, everything, boba, dessert, mango, scoop, take, price, chicken, magnolia, breakfast, thing, chili, sandwich, cup, n, sauce, filipino, smoothie, strawberry, bit, perq, line, pineapple, bad, cookie, yummy, bellagio, seafood, spot, home, macadamia, ono, milk, inside]
Mediterranean:[food, place, good, service, chicken, time, back, restaurant, one, go, hookah, pita, hummus, order, gyro, salad, vegas, try, love, greek, menu, sauce, well, can, rice, bread, staff, falafel, meat, everything, beef, shawarma, lamb, lunch, plate, experience, meal, make, kabob, dinner, side, night, flavor, way, say, table, right, take, wait, pizza, taste, favorite, server, price, bit, down, bok, quality, customer, owner, while, think, kosher, sandwich, atmosphere, town, baklava, home, steak, something, thing, being, family, worth, waiter, day, wine, lounge, cheese, spot, dish, eating, enough, lot, check, visit, feel, philly, music, husband]
Amusement Parks:[place, pinball, out, time, food, one, can, fun, play, go, jump, good, back, area, park, room, staff, party, pizza, love, day, cool, mantis, way, container, experience, sahara, night, buffet, hotel, take, make, downtown, check, lot, playground, strip, arcade, harness, while, game, think, family, skyjump, worth, right, birthday, machine, something, shipping, say, fame, money, being, bit, service, thing, price, everything, playing, stratosphere, pay, stay, chicken, video, year, visit, walk, cheap, kid, feel, everyone, need, line, front, bar, inside, top, hall, sky, monorail, try, bungee, casino, son, fremont, part, parking, blackjack, work]
Printing Services:[food, place, service, pizza, bar, sauce, chicken, time, restaurant, order, salad, back, pasta, one, cheese, menu, bread, love, night, try, server, bartender, dinner, soup, hour, can, waitress, staff, meal, take, lunch, dining, family, wait, day, down, home, wine, lot, area, party, table, homemade, way, garlic, thing, eating, while, dish, lasagna, half, meatball, meat, room, nothing, drink, everything, side, friend, taste, parmesan, husband, cold, price, check, spot, style, sandwich, visit, mozzarella, ok, review, delivery, customer, work, top, kitchen, glass, calamari, portion, experience, business, right, quality, flavor, favorite, week, smoke, year, tonight]
Dinner Theater:[movie, theater, food, service, place, bar, experience, time, go, order, back, theatre, eclipse, parking, one, night, staff, popcorn, menu, drink, button, server, lounge, seat, date, way, ticket, love, area, watch, wait, downtown, right, check, chicken, bit, seating, while, need, try, price, front, take, worth, luxury, money, comfy, groupon, show, something, part, feel, everyone, anything, start, star, top, thing, lot, bartender, left, upscale, online, inside, sangria, cold, location, sound, quality, customer, everything, friend, pay, pretzel, call, flatbread, galaxy, spot, card, table, walk, film, lobster, atmosphere, outside, manager, wine, bill, fact, street]
Halal:[food, place, good, chicken, service, pizza, time, back, gyro, order, restaurant, go, one, sauce, beef, rice, try, meat, buffet, naan, lamb, dumpling, can, staff, menu, lunch, pita, masala, love, tikka, curry, owner, kosher, soup, everything, taste, fremont, flavor, falafel, jerusalem, price, experience, meal, hummus, kabob, right, shawarma, cheese, bread, sandwich, dish, bit, way, biryani, plate, strip, take, spicy, salad, quality, while, night, customer, garlic, worth, think, lazeez, downtown, something, dinner, wait, day, side, visit, table, lot, being, combo, taj, town, thing, doner, ok, red, paneer, burger, korner, steak, tandoori, nothing]
